NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
32,2410 Lisbon Ave N,55042,MN,LELM - Lake Elmo,305000,6/8/17 0:00,319000,Exclusive Right,319000,132.0346,1580,,834 - Stillwater,7,7/17/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Deck, Study",,No,,,"Attached Garage, Driveway - Asphalt",2060,2725,2728,2017,2310,,1978,Residential-Single,(SF) One 1/2 Stories,1.087,Central,"Range, Refrigerator, Washer, Water Softener - Owned, Central Vacuum",,Wood,,"Full, Concrete Block",2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath , Private Master, Full Master",3,250,,0,Unknown,3
33,8695 Ironwood Trl N,55042,MN,LELM - Lake Elmo,317000,6/1/17 0:00,325000,Exclusive Right,325000,117.6252,1720,Partial,622 - North St Paul-Maplewood,18,6/19/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den, Work Shop, Sun Room, Foyer, Spa or Sauna Room, Deck","Asphalt Shingles, Pitched, Age Over 8 Years",No,,,"Attached Garage, Driveway - Concrete, Driveway - Asphalt, Garage Door Opener",1720,2247,2250,2017,2695,,1974,Residential-Single,(SF) One Story,0.689,Central,"Range, Microwave, Dishwasher, Refrigerator, Tankless Water  Heater, Water Softener - Owned",,Vinyl,"Eat In Kitchen, Kitchen/Dining Room, Living/Dining Room","Full, Finished (Livable), Concrete Block",1,0,0,1,SF,2,"Main Floor Full Bath, Master Walk-Thru, 3/4 Basement",3,975,Not Assumable,0,No,3
34,9777 N 5th Street Ln,55042,MN,LELM - Lake Elmo,320000,10/6/17 0:00,325990,Exclusive Right,343645,141.7811,1159,,834 - Stillwater,39,11/14/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Recreation Room, Loft, Laundry, Deck, Pantry (Walk-In)","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1807,222,222,2017,2257,,2017,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Eat In Kitchen","Finished (Livable), Day/Lookout Windows, Poured Concrete",1,2,0,1,SF,4,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master, 3/4 Master, 1/2 Basement, Basement",3,450,,225,No,0
35,9821 N 5th Street Ln,55042,MN,LELM - Lake Elmo,310000,9/2/17 0:00,328663,Exclusive Right,328663,171.5551,1159,"Privacy, Partial",834 - Stillwater,38,10/10/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Loft, Laundry, Deck, Pantry (Walk-In), Unfinished","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,38,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1807,0,0,2017,1807,,2017,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Brick/Stone, Fiber Board","Informal Dining Room, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master, 3/4 Master, Basement, Rough In",3,0,,225,No,0
36,5811 N Hytrail Ave N,55042,MN,LELM - Lake Elmo,315000,7/26/17 0:00,329900,Exclusive Right,329900,136.2457,1272,,832 - Mahtomedi,8,8/3/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,,8,"Attached Garage, Driveway - Asphalt",1272,3102,3500,2017,2312,,1978,Residential-Single,(SF) Split Entry (Bi-Level),1.025,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Metal, Vinyl",Kitchen/Dining Room,"Full, Finished (Livable), Day/Lookout Windows",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",5,1040,,0,Unknown,398
37,2816 Inwood Ave N,55042,MN,LELM - Lake Elmo,325000,4/17/17 0:00,329900,Exclusive Right,329900,156.25,855,,622 - North St Paul-Maplewood,55,6/12/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Laundry, Master Bath, Deck","Asphalt Shingles, Pitched",No,,55,"Attached Garage, Detached Garage, Garage Door Opener",1640,3174,3174,2017,2080,,1987,Residential-Single,(SF) Four or More Level Split,1.83,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Vinyl,Informal Dining Room,"Full, Finished (Livable), Day/Lookout Windows, Concrete Block",1,1,0,1,SF,3,"Upper Level Full Bath , Private Master, 3/4 Master, 1/2 Basement",4,440,,0,No,0
38,8875 42nd St N,55042,MN,LELM - Lake Elmo,324000,5/17/17 0:00,330000,Exclusive Right,330000,153.7002,1064,,834 - Stillwater,54,7/10/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Recreation Room",Asphalt Shingles,No,,54,Attached Garage,1808,2560,2560,2017,2108,,1979,Residential-Single,(SF) One 1/2 Stories,1.04,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Vinyl,Informal Dining Room,Full,1,0,0,1,SF,2,"Main Floor 3/4 Bath, Upper Level Full Bath ",4,300,Not Assumable,0,No,0
39,8014 Hidden Bay Trl N,55042,MN,LELM - Lake Elmo,335000,5/15/17 0:00,335000,Exclusive Right,345000,125.0934,1388,,622 - North St Paul-Maplewood,59,7/13/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Laundry, Game Room","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,42,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1388,3051,3054,2017,2678,,1971,Residential-Single,(SF) Split Entry (Bi-Level),0.73,Central,"Cooktop, Wall Oven, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Wood,"Separate/Formal Dining Room, Eat In Kitchen, Breakfast Area","Walkout, Full, Finished (Livable)",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",4,1290,Not Assumable,0,No,3
40,8320 Lake Jane Trl N,55042,MN,LELM - Lake Elmo,364900,6/23/17 0:00,349900,Exclusive Right,349900,138.1674,1172,,834 - Stillwater,20,7/13/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Three Season Porch, Informal Dining Room, Hobby Room, Amusement Room, Work Shop, Deck",Asphalt Shingles,No,None,20,"Attached Garage, Driveway - Asphalt, Garage Door Opener, Other",2090,2750,2750,2017,2641,,1977,Residential-Single,(SF) Two Stories,1.12,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Central Vacuum, Furnace Humidifier",,"Brick/Stone, Fiber Board","Separate/Formal Dining Room, Informal Dining Room","Walkout, Finished (Livable), Concrete Block",1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",4,551,,0,No,0
41,5231 Hilltop Ave N,55042,MN,LELM - Lake Elmo,380000,7/5/17 0:00,380000,Exclusive Right,380000,113.7044,1176,,622 - North St Paul-Maplewood,0,7/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,0,"Attached Garage, Driveway - Concrete, Garage Door Opener",2542,4238,4238,2017,3342,,1978,Residential-Single,(SF) Two Stories,1.11,Central,,,Shakes,,"Walkout, Finished (Livable), Partial Finished",1,0,1,2,SF,4,,4,800,,0,No,0
42,12521 Marquess Way N,55042,MN,LELM - Lake Elmo,385000,3/8/17 0:00,380000,Exclusive Right,380000,183.8586,1012,Wood,834 - Stillwater,6,3/14/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck","Asphalt Shingles, Age Over 8 Years",No,,6,"Attached Garage, Driveway - Asphalt",2094,3069,3069,2016,2094,,2002,Residential-Single,(SF) Two Stories,0.26,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Vinyl, Brick/Stone","Separate/Formal Dining Room, Informal Dining Room, Eat In Kitchen, Kitchen/Dining Room","Full, Sump Pump, Day/Lookout Windows, Egress Windows, Concrete Block, Unfinished",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Bathroom Ensuite, Basement, Rough In, Separate Tub & Shower",4,0,,450,Unknown,0
43,8877 Upper 9th Pl N,55042,MN,LELM - Lake Elmo,381970,10/11/17 0:00,381505,Exclusive Right,381505,173.6227,980,"Wood, Privacy, Partial",622 - North St Paul-Maplewood,0,10/11/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Loft, Foyer, Sun Room","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,0,"Attached Garage, Driveway - Asphalt, Garage Door Opener",2200,0,0,2017,2200,,2017,Residential-Single,(TH) Detached,0.113,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Water Softener - Owned, Disposal",,"Shakes, Brick/Stone, Cement Board",Informal Dining Room,Slab,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master",3,0,,125,No,0
44,11750 Little Bluestem Ct N,55042,MN,LELM - Lake Elmo,375000,7/9/17 0:00,383000,Exclusive Right,400000,165.0528,1568,,834 - Stillwater,71,9/18/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Sun Room, Loft, Laundry",Asphalt Shingles,No,,31,"Attached Garage, Driveway - Asphalt, Unassigned, Garage Door Opener",2272,2664,2664,2017,2272,,2003,Residential-Single,(TH) Side x Side,0.084,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Metal, Vinyl",Living/Dining Room,"Full, Drain Tiled, Sump Pump, Egress Windows, Poured Concrete, Unfinished",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Full Master, Walk-In Shower, Rough In, Separate Tub & Shower, Whirlpool",3,0,,253,Unknown,3
45,11722 32nd St N,55042,MN,LELM - Lake Elmo,380000,5/11/17 0:00,384900,Exclusive Right,384900,155.9294,1124,None,834 - Stillwater,14,5/25/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office, Great Room, Laundry","Pitched, Age 8 Years or Less",No,None,14,"Attached Garage, Driveway - Asphalt",2437,184,184,2017,2437,,2017,Residential-Single,(SF) Two Stories,0.21,Central,"Range, Microwave, Dishwasher, Refrigerator, Air-To-Air Exchanger",,"Vinyl, Brick/Stone","Informal Dining Room, Eat In Kitchen","Walkout, Drainage System, Sump Pump, Concrete Block, Unfinished",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower",4,0,Not Assumable,120,No,0
46,11614 32nd St N,55042,MN,LELM - Lake Elmo,389900,4/29/17 0:00,389900,Exclusive Right,394900,160.5848,1124,None,834 - Stillwater,72,7/10/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Great Room, Office, Laundry","Pitched, Age 8 Years or Less",No,None,33,Attached Garage,2428,184,184,2017,2428,,2017,Residential-Single,(SF) Two Stories,0.19,Central,"Range, Microwave, Dishwasher, Refrigerator, Air-To-Air Exchanger",,"Shakes, Vinyl, Brick/Stone","Informal Dining Room, Eat In Kitchen","Walkout, Drain Tiled",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Rough In",4,0,Not Assumable,125,No,0
47,5291 Marquess Trl N,55042,MN,LELM - Lake Elmo,382500,9/12/17 0:00,390000,Exclusive Right,400000,166.0156,1240,None,834 - Stillwater,27,10/9/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,None,15,"Attached Garage, Driveway - Asphalt",2304,3258,3258,2017,2304,,2002,Residential-Single,(SF) Two Stories,0.31,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Water Softener - Owned, Disposal, Electronic Air Filter, Air-To-Air Exchanger",,Vinyl,"Separate/Formal Dining Room, Eat In Kitchen","Full, Sump Pump, Day/Lookout Windows, Egress Windows, Unfinished",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Full Master, Bathroom Ensuite, Walk-In Shower, Rough In, Separate Tub & Shower",4,0,Not Assumable,450,No,0
48,11066 11th St N,55042,MN,LELM - Lake Elmo,386000,4/13/17 0:00,392500,Exclusive Right,392500,141.3919,1106,,834 - Stillwater,26,5/9/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Informal Dining Room, Office",,No,,26,"Attached Garage, Garage Door Opener",1930,3238,3238,2017,2730,,1990,Residential-Single,(SF) Two Stories,1.5,Central,"Microwave, Exhaust Fan/Hood, Dishwasher, Disposal",,"Vinyl, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen","Full, Drain Tiled",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Full Master, Whirlpool",3,800,,0,Unknown,0
49,11758 32nd St N,55042,MN,LELM - Lake Elmo,394900,7/14/17 0:00,394900,Exclusive Right,419900,142.6662,1295,None,834 - Stillwater,66,9/18/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Great Room, Office, Mud Room, Laundry","Pitched, Age 8 Years or Less",No,,27,"Attached Garage, Driveway - Asphalt",2768,184,184,2017,2768,,2017,Residential-Single,(SF) Two Stories,0.24,Central,"Range, Microwave, Dishwasher, Refrigerator, Air-To-Air Exchanger",,"Vinyl, Brick/Stone",Informal Dining Room,"Walkout, Drain Tiled, Concrete Block",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Rough In",4,0,Not Assumable,125,No,0
50,5079 Marquess Trail Cir N,55042,MN,LELM - Lake Elmo,394900,6/16/17 0:00,394900,Exclusive Right,424900,123.4063,1250,,834 - Stillwater,146,11/9/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Recreation Room","Asphalt Shingles, Age 8 Years or Less",No,,27,"Attached Garage, Insulated Garage, Driveway - Asphalt, Garage Door Opener",2500,3699,3702,2017,3200,,2001,Residential-Single,(SF) Two Stories,0.383,Central,,,"Metal, Vinyl, Brick/Stone","Informal Dining Room, Eat In Kitchen, Kitchen/Dining Room","Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows, Concrete Block",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Separate Tub & Shower, Whirlpool",4,700,,450,Unknown,3
51,11227 12th St N,55042,MN,LELM - Lake Elmo,426000,7/24/17 0:00,399900,Exclusive Right,399900,150.9568,1176,None,834 - Stillwater,2,8/19/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Laundry, Recreation Room","Asphalt Shingles, Pitched, Age Over 8 Years",No,None,2,"Attached Garage, Insulated Garage, Driveway - Asphalt",2072,3295,3298,2017,2822,,1989,Residential-Single,(SF) Two Stories,1.513,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,"Metal, Vinyl, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen","Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows, Egress Windows, Concrete Block",2,1,0,1,SF,4,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, 3/4 Basement, Separate Tub & Shower, Whirlpool",4,750,,0,Unknown,3
52,11703 32nd St N,55042,MN,LELM - Lake Elmo,415000,4/20/17 0:00,399900,Exclusive Right,414900,158.1555,1139,,834 - Stillwater,35,5/25/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Great Room, Office, Loft, Laundry, Mud Room","Pitched, Age 8 Years or Less",No,,13,"Attached Garage, Driveway - Asphalt",2624,184,184,2017,2624,,2017,Residential-Single,(SF) Two Stories,0.26,Central,,,"Vinyl, Brick/Stone",,"Walkout, Drain Tiled",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, Rough In",4,0,Not Assumable,125,No,0
53,4940 Jamaca Ave N,55042,MN,LELM - Lake Elmo,384000,3/11/17 0:00,399900,Exclusive Right,409900,133.7047,1806,Invisible,834 - Stillwater,51,5/1/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom, Three Season Porch, Work Shop, Deck, Garage",Asphalt Shingles,No,,37,Attached Garage,1566,3183,3186,2016,2872,,1985,Residential-Single,(SF) Split Entry (Bi-Level),1.682,Central,,,Vinyl,,"Full, Finished (Livable), Drain Tiled, Sump Pump",1,0,0,2,SF,3,"Main Floor Full Bath, 3/4 Master, Bathroom Ensuite, Walk-In Shower, 3/4 Basement, Separate Tub & Shower",5,1306,,0,Unknown,3
54,8450 Demontreville Trl N,55042,MN,LELM - Lake Elmo,410000,7/5/17 0:00,400000,Exclusive Right,400000,206.3412,1013,,832 - Mahtomedi,16,7/21/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Foyer","Asphalt Shingles, Age Over 8 Years",No,,16,"Attached Garage, Garage Door Opener",1987,3805,3808,2017,1987,,1978,Residential-Single,(SF) Two Stories,6.035,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Metal,"Informal Dining Room, Eat In Kitchen, Breakfast Area, Kitchen/Dining Room","Walkout, Full, Drain Tiled, Sump Pump, Concrete Block, Unfinished",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",4,0,,0,No,3
55,8871 9th Pl N,55042,MN,LELM - Lake Elmo,400690,6/21/17 0:00,400690,Exclusive Right,400690,212.0053,1890,"Wood, Privacy, Partial",622 - North St Paul-Maplewood,0,6/21/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Storage Room, Laundry, Sun Room, Den","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,0,"Attached Garage, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1890,202,202,2017,1890,,2017,Residential-Single,(TH) Detached,0.149,Central,"Range, Microwave, Dishwasher, Refrigerator, Water Softener - Owned, Disposal, Air-To-Air Exchanger",,"Shakes, Brick/Stone, Cement Board",Informal Dining Room,Slab,1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Master, Bathroom Ensuite",2,0,,125,No,0
56,8633 Irving Cir N,55042,MN,LELM - Lake Elmo,404446,6/20/17 0:00,404446,Exclusive Right,404446,213.6535,1893,"Wood, Privacy, Partial",622 - North St Paul-Maplewood,0,6/20/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Storage Room, Laundry, Sun Room","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,0,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1893,202,202,2017,1893,,2017,Residential-Single,(TH) Detached,0.14,Central,"Range, Microwave, Dishwasher, Refrigerator, Disposal, Air-To-Air Exchanger, Furnace Humidifier",,"Shakes, Brick/Stone, Cement Board",Informal Dining Room,Slab,2,0,0,0,SF,2,"Main Floor Full Bath, Private Master, Full Master, Bathroom Ensuite, Separate Tub & Shower",3,0,,125,No,0
57,3212 Linden Ln N,55042,MN,LELM - Lake Elmo,407000,7/12/17 0:00,407000,Exclusive Right,407000,156.9005,1160,,834 - Stillwater,39,8/21/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Office, Mud Room","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,39,"Attached Garage, Driveway - Asphalt",2594,186,186,2017,2594,,2017,Residential-Single,(SF) Two Stories,0.13,Central,"Range, Microwave, Dishwasher, Refrigerator, Disposal, Air-To-Air Exchanger, Furnace Humidifier",,"Metal, Vinyl, Brick/Stone","Eat In Kitchen, Breakfast Area, Kitchen/Dining Room","Walkout, Drain Tiled, Drainage System, Day/Lookout Windows, Egress Windows, Unfinished",2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, 3/4 Basement, Basement, Rough In",4,0,,175,No,0
58,3435 Isle Ct N,55042,MN,LELM - Lake Elmo,405000,7/10/17 0:00,409900,Exclusive Right,425000,133.8401,1290,Chain Link,834 - Stillwater,18,7/28/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom, Office, Deck, Laundry, Porch, Foyer","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,9,"Attached Garage, Driveway - Asphalt, Garage Door Opener",2016,3524,3524,2017,3026,,1998,Residential-Single,(SF) Two Stories,2.542,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Vinyl, Brick/Stone","Informal Dining Room, Eat In Kitchen, Breakfast Area, Kitchen/Dining Room","Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows, Concrete Block",1,0,0,2,SF,3,"Main Floor 3/4 Bath, Upper Level Full Bath , 3/4 Basement, Whirlpool",5,1010,,0,No,0
59,11641 32nd St N,55042,MN,LELM - Lake Elmo,405000,5/26/17 0:00,409900,Exclusive Right,418900,146.315,1295,None,834 - Stillwater,45,7/10/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Great Room, Office, Mud Room, Laundry","Pitched, Age 8 Years or Less",No,None,33,Driveway - Asphalt,2768,184,184,2017,2768,,2017,Residential-Single,(SF) Two Stories,0,Central,"Microwave, Dishwasher, Refrigerator, Air-To-Air Exchanger",,Brick/Stone,"Informal Dining Room, Kitchen/Dining Room","Walkout, Drain Tiled",2,1,0,1,SF,4,"Upper Level Full Bath , Upper Level 3/4 Bath, Full Master",4,0,Not Assumable,125,No,0
